MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,월,강동,상선,24.4,39.3,64.9,90.95,68.6,48.35,39.95,43.15,35.45,33.1,35.85,44.15,43.45,45.6,32.05,22.35,19.4,20.15,11.5,2.9
1,월,강동,하선,8.3,21.45,32.15,60.15,21.6,20.2,26.6,34.25,37.3,37.45,48,59.2,64.5,90.4,67.8,53.45,53.05,45.05,30.25,14.6
1,월,개롱,상선,24.4,26.2,63.25,67.5,41.15,29.9,23.65,25.65,23.75,21.4,21.05,30.85,22.85,25.95,17.05,11.5,10.35,8.6,4.1,1.05
1,월,개롱,하선,1.8,6.55,7.3,20.2,7.8,7.3,10.6,13.9,16.3,17.75,23.55,32,22.7,41.55,34.25,26.95,24.75,25.25,15.75,6.75
1,월,거여,상선,19.4,21.65,49.6,52.8,31.05,21.65,17.1,18.5,16.95,15.55,14.8,19.95,14.5,16.9,11,7.55,6.7,5.2,2.7,0.75
1,월,거여,하선,0.6,2.55,2.2,7.6,3.1,3.15,4.6,6.05,6.05,6.95,10.05,14.05,9.55,16.6,14.1,11.35,11.4,9.95,7,3.4
1,월,둔촌동,상선,21.5,29.25,62.85,65.65,49.5,41.7,36.15,39.15,37.4,33.9,40.4,56.85,56.2,72.7,52.4,31.45,29.1,32.8,14.5,6.2
1,월,둔촌동,하선,10.4,21.6,44.25,91.9,30.8,23,28,33.25,35.2,32.9,37.55,46.95,33.1,56.1,41.1,35.85,32.7,31.05,19.6,10.05
1,월,마천,상선,10.1,11.05,22.5,23.1,12.85,8.75,7.35,8,7.05,7,5.7,7.5,5.4,7.2,3.8,3.05,2.35,1.9,0.9,0.25
1,월,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,월,방이,상선,21.3,27.15,62.05,64.45,47.1,35.75,28.75,32,32.05,26.95,31.95,44.5,42.95,66.5,42.75,26.65,24.6,25.5,10.65,2.35
1,월,방이,하선,8.9,16.95,29.05,62.75,21.8,16.2,21.05,24.8,26.6,26.15,31.3,42,30.9,51.05,38.75,33.9,31.1,33.1,19,8.35
1,월,오금,상선,19.8,24.05,56.7,61.2,43.5,32.45,26.3,29.5,29.55,26.05,30.3,44.1,41.2,60.75,38.75,24.45,21.15,21.1,10.3,2.1
1,월,오금,하선,3,10.25,11.1,29.15,11.4,10.6,14.9,19.95,22.55,24.9,31.55,44.95,31.2,56.2,46.5,37.25,33.95,35.15,21.6,9.1
1,월,올림픽공원,상선,14.7,20.7,43.9,48.2,35.85,30.35,25.95,28.4,27.65,25.15,30.75,42.75,41.45,57.1,40.15,25.05,22.85,26.15,11.7,4.9
1,월,올림픽공원,하선,6.8,14.4,26.15,58.35,18.5,14.5,18.4,22,23.95,23.5,29.55,39.05,26.35,46.25,34.25,29.7,26.95,25.9,17.7,7.6
1,일,강동,상선,5.5,4.55,8.15,11.35,17.05,19.1,17.6,22,19,18,16.7,15.5,14.75,10.8,8.35,14.7,9.25,7.45,2.6,0
